Unnamed: 0,project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude
3457,6737,7639.0,7635.0,480,Village of Progress,30.0,Light Manufacturers,,Kub Inc,2020-05-22 14:14:43.990962,2020-05-22 14:14:45.313803,2.0,5,True,True,1,1.0,2349.0,0.1,,1,124.0,20000.0,1,142.0,142.0,142.0,56.0,18679248.0,21.28565346956152,7952.0,1,1,2268.1944,2490.5664,,5964.0,2.39,41.76000000000001,710 S 13th Street,Oregon,IL,61061.0,41.97857,-89.45510999999999
3457,6737,7639.0,7635.0,480,Village of Progress,30.0,Light Manufacturers,,Kub Inc,2020-05-22 14:14:43.990962,2020-05-22 14:14:45.313803,2.0,5,True,True,1,1.0,2349.0,0.1,,1,124.0,20000.0,1,142.0,142.0,142.0,56.0,18679248.0,21.28565346956152,7952.0,1,1,2268.1944,2490.5664,,5964.0,2.39,41.76000000000001,710 S 13th Street,Oregon,IL,61061.0,42.0849,-89.33803
3457,6737,7639.0,7635.0,480,Village of Progress,30.0,Light Manufacturers,,Kub Inc,2020-05-22 14:14:43.990962,2020-05-22 14:14:45.313803,2.0,5,True,True,1,1.0,2349.0,0.1,,1,124.0,20000.0,1,142.0,142.0,142.0,56.0,18679248.0,21.28565346956152,7952.0,1,1,2268.1944,2490.5664,,5964.0,2.39,41.76000000000001,710 S 13th Street,Oregon,IL,61061.0,41.90952,-89.33471999999999
3458,6738,6519.0,6484.0,739,Catalent,34.0,Manufacturing Facility,,Cronin-Kilback,2020-03-23 22:16:32.431242,2020-03-23 22:16:34.365566,2.0,5,False,True,1,8715.0,7173.333333333332,0.09,,1,742518.0,18857.14285714285,1,0.0,0.0,110.0,245.0,15400000.0,175.0,3850.0,7,7,8500.68,8500.68,,64873.75,7.63,13.10342010443361,333 Phoenixville Pike,Malvern,PA,19355.0,40.09108,-75.5603
3458,6738,6519.0,6484.0,739,Catalent,34.0,Manufacturing Facility,,Cronin-Kilback,2020-03-23 22:16:32.431242,2020-03-23 22:16:34.365566,2.0,5,False,True,1,8715.0,7173.333333333332,0.09,,1,742518.0,18857.14285714285,1,0.0,0.0,110.0,245.0,15400000.0,175.0,3850.0,7,7,8500.68,8500.68,,64873.75,7.63,13.10342010443361,333 Phoenixville Pike,Malvern,PA,19355.0,40.04765,-75.55405999999999
3458,6738,6519.0,6484.0,739,Catalent,34.0,Manufacturing Facility,,Cronin-Kilback,2020-03-23 22:16:32.431242,2020-03-23 22:16:34.365566,2.0,5,False,True,1,8715.0,7173.333333333332,0.09,,1,742518.0,18857.14285714285,1,0.0,0.0,110.0,245.0,15400000.0,175.0,3850.0,7,7,8500.68,8500.68,,64873.75,7.63,13.10342010443361,333 Phoenixville Pike,Malvern,PA,19355.0,40.03622,-75.51380999999999
3458,6738,6519.0,6484.0,739,Catalent,34.0,Manufacturing Facility,,Cronin-Kilback,2020-03-23 22:16:32.431242,2020-03-23 22:16:34.365566,2.0,5,False,True,1,8715.0,7173.333333333332,0.09,,1,742518.0,18857.14285714285,1,0.0,0.0,110.0,245.0,15400000.0,175.0,3850.0,7,7,8500.68,8500.68,,64873.75,7.63,13.10342010443361,333 Phoenixville Pike,Malvern,PA,19355.0,40.00075,-75.49831999999999
3459,6740,6890.0,6861.0,327,Town Sports International HQ,41.0,Office/Retail,2249.0,"Collier, Barrows and Runolfsdottir",2020-03-19 06:15:49.063573,2020-03-19 06:16:13.040096,2.0,5,False,True,14,840.0,6000.0,0.2,,14,1304520.0,15785.714285714286,14,6606.0,14391.0,941.0,2315.4,208465200.0,675.0,34744.200000000004,83,164,58713.36,58713.36,,35703.76868518522,0.61,164.44583348525416,399 Executive Blvd,Elmsford,NY,10523.0,41.0551,-73.82013
3460,6741,6605.0,6570.0,413,Shopping Center Test ,33.0,Mall Concourse,,"Larson, Cartwright and Wyman",2020-03-19 07:11:02.03717,2020-03-19 07:11:08.810117,2.0,5,False,True,3,204.0,5048.0,0.1,,3,35037.0,10500.0,3,979.0,979.0,115.0,390.0,6440280.0,584.0336134453783,2706.0,20,20,1068.858,1068.858,,6409.6504,6.0,16.675761286450193,12345 Test Way,Boise,ID,83704.0,,
3461,6741,6607.0,6572.0,413,Shopping Center Test ,33.0,Mall Concourse,,"Larson, Cartwright and Wyman",2020-03-19 07:10:53.808874,2020-03-19 07:11:01.83186,2.0,5,False,True,3,204.0,5048.0,0.1,,3,35037.0,10500.0,3,478.0,478.0,115.0,390.0,6440280.0,584.0336134453783,2706.0,20,20,566.9159999999998,566.9159999999998,,3135.784,5.53,18.078923803425234,12345 Test Way,Boise,ID,83704.0,,
3462,6742,6618.0,6583.0,444,"Xtra Lease - La Vergne, TN",,,,"Jacobson, Auer and Rolfson",2020-03-19 07:09:07.318392,2020-03-19 07:09:09.554318,2.0,5,False,True,4,24.0,3490.0,0.107,,4,35544.0,12500.0,4,77.0,77.0,77.0,441.0,16686000.0,86.23112047769581,5514.0,4,4,3925.937,6176.17289361149,,28471.56522851016,4.61,21.692424859828023,,,,,,
3463,6743,6525.0,6490.0,327,Fat Moose Comics,52.0,Retail,2249.0,"Collier, Barrows and Runolfsdottir",2020-03-19 07:18:05.922132,2020-03-19 07:18:08.157919,2.0,5,False,True,3,15.0,2800.0,0.15,,3,3300.0,13666.666666666668,3,44.0,44.0,16.0,146.2,1542800.0,73.21428571428572,550.9999999999999,5,5,188.58,188.58,,1622.0,,11.626387176325526,53A Parsippany Rd.,Whippany,NJ,7981.0,,
3464,6744,6527.0,6492.0,32,Zamzows- Fairview,52.0,Retail,2254.0,Gerlach-King,2020-08-13 16:16:55.716125,2020-08-13 16:16:57.20625,2.0,5,False,True,7,585.0,3566.4,0.08,0.045,7,447930.0,11846.153846153846,7,533.0,533.0,363.0,687.0,44177520.0,723.3788357760959,10690.0,25,25,6299.31136,6299.31136,,13395.621168000001,2.09,47.025153077992755,6313 W Fairview Ave,Boise,ID,83704.0,,
