project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude,existing_kwh,proposed_kwh,kwh_proposed_annual_savings
7648,7042.0,7013.0,568,7701 Greenbelt Rd Downlights,40.0,Office (General Office Types),2254.0,"Monahan, Roberts and Harvey",2021-03-23 16:03:54.247489,2021-03-23 16:04:11.259486,2.0,5,False,True,1,2.0,4368.0,0.14,,1,232.0,10000.0,1,32.0,32.0,41.0,60.0,5372640.0,22.893772893772894,1230.0,2,2,841.4515200000003,841.4515200000003,,3143.6,3.55,26.76713067820333,7701 Greenbelt Rd ,Greenbelt,MD,20770.0,38.99319000000001,-76.87383,8107.008000000001,2096.64,6010.368
7652,7044.0,7015.0,568,Hidden Harbour 2,65.0,Other,2254.0,"Monahan, Roberts and Harvey",2020-03-18 06:10:52.774359,2020-03-18 06:10:55.347035,2.0,5,False,True,3,9.0,4368.0,0.14,,3,2844.0,4000.0,3,166.0,166.0,166.0,58.0,13864032.0,34.34065934065934,3174.0,3,3,8611.424640000001,8611.424640000001,,15238.642,1.74,56.51044653454029,12401 Jamaica Ave,Ocean City,MD,21842.0,38.42921,-75.05921,75374.208,13864.032,61510.176
7653,7104.0,7075.0,568,Merritt Properties 611 N Hammonds Ferry Rd Ste A-E,,,2254.0,"Monahan, Roberts and Harvey",2020-03-18 05:23:31.551579,2020-03-18 05:23:47.360096,2.0,5,False,True,7,210.0,3744.0,0.14,,7,67620.0,11714.285714285714,7,3666.0,3554.0,200.0,1322.0,32408064.0,480.7692307692311,8656.0,41,37,6696.66816,6696.66816,,13529.9273,1.99,49.495226482111256,611 N. Hammonds Ferry Road,Linthicum Heights,MD,21090.0,39.219770000000004,-76.6635,80241.408,32408.064,47833.344000000005
7654,7045.0,7016.0,127,First Cash - STL #421,52.0,Retail,2254.0,Farrell-Hills,2020-03-18 06:10:46.675483,2020-03-18 06:10:50.557737,2.0,5,False,True,5,40.0,2960.0,0.13,,5,20240.0,20000.0,5,333.0,333.0,123.0,192.0,8317600.0,135.13513513513513,2810.0,8,8,2861.3728,3887.9008,2288.0,4807.280000000002,1.23,80.87527250336986,5934 Natural Bridge Rd. ,St Louis,,63120.0,38.687508,-90.27377,30328.16,8317.6,22010.56
7655,7092.0,7063.0,732,C Harper Ford,1.0,Auto Related,,"Lubowitz, Conn and Will",2020-03-18 05:24:28.199543,2020-03-18 05:24:30.560437,2.0,5,False,True,2,6.0,4380.0,0.09,,2,4002.0,10000.0,2,1222.0,1222.0,452.0,550.0,282291000.0,45.662100456621005,64450.0,4,4,50375.2122,50375.2122,,63241.14365384628,1.25,79.65575777018104,,,,,,,842015.58,282291.0,559724.58
7655,7290.0,7286.0,732,C Harper Ford,1.0,Auto Related,,"Lubowitz, Conn and Will",2020-03-26 17:34:56.241194,2020-03-26 17:35:00.602705,2.0,5,False,True,1,6.0,4380.0,0.09,,1,2001.0,10000.0,1,1155.0,1155.0,385.0,600.0,337260000.0,34.246575342465746,77000.0,3,3,40066.488,40066.488,,207288.8830769233,4.81,19.328816579677184,,,,,,,842015.58,396832.38,445183.2
7656,7174.0,7145.0,732,Jones Stone - bentlyville,,,,"Lubowitz, Conn and Will",2020-03-18 05:09:08.426702,2020-03-18 05:09:14.063024,2.0,5,False,True,5,81.0,2340.0,0.1037,,5,63000.0,14555.555555555557,5,65.0,63.0,44.0,601.0,6413940.0,179.4871794871795,2741.0,13,11,1931.3150219999998,1931.3150219999998,,4902.907115384627,2.46,39.39122191280776,,,,,,,27048.06,8424.0,18624.06
7657,7046.0,7017.0,321,Mountain America Credit Union - Washington (Tier 1 Option),3.0,Banks,,Walter-O'Reilly,2020-03-18 05:54:23.934078,2020-03-18 05:54:26.270143,2.0,5,False,True,3,9.0,,,,3,3789.0,13333.33333333333,3,28.0,28.0,28.0,201.0,0.0,0.0,1487.0,3,3,0.0,0.0,,7771.45,,0.0,Washington Branch                                                                                                   ,St. George,UT,84790.0,37.18568,-113.60983999999999,0.0,0.0,0.0
7658,7048.0,7019.0,623,Hydra-Tech Pumps,,,,"Haag, Wilderman and Blick",2020-03-18 06:10:44.647199,2020-03-18 06:10:46.600485,2.0,5,False,True,2,2.0,3060.0,0.07,,2,372.0,20000.0,2,187.0,187.0,187.0,71.0,21162960.0,32.6797385620915,6916.0,2,2,3028.3596,3056.9706,,10456.0,3.27,29.23652065799541,167 Stock Street,Nesquehoning,PA,18240.0,40.850147,-75.870964,64425.24,21162.96,43262.28
7659,7049.0,7020.0,321,Mountain America Credit Union - Washington (Tier 2 Option) ,3.0,Banks,,Walter-O'Reilly,2020-03-18 05:54:21.292485,2020-03-18 05:54:23.837586,2.0,5,False,True,3,9.0,,,,3,3789.0,13333.33333333333,3,28.0,28.0,28.0,200.0,0.0,0.0,1480.0,3,3,0.0,0.0,,5529.938,,0.0,Washington Branch                                                                                                   ,St. George,UT,84790.0,37.18568,-113.60983999999999,0.0,0.0,0.0
7660,7052.0,7023.0,552,Deerfoot Destination 2020 Project 4 Exterior - Arrlux ,,,,"Reynolds, Pfeffer and Gottlieb",2020-03-18 06:10:43.228067,2020-03-18 06:10:44.567407,2.0,5,False,True,1,1.0,4380.0,0.1,0.1,1,400.0,10000.0,1,33.0,33.0,33.0,135.0,19512900.0,11.415525114155251,4455.0,1,1,3830.31,5131.17,,33291.852,6.49,15.412690168152855,,,,,,,57816.0,19512.9,38303.1
7660,7053.0,7024.0,552,Deerfoot Destination 2020 Project 4 Exterior - Arrlux ,,,,"Reynolds, Pfeffer and Gottlieb",2020-03-18 06:10:41.87473,2020-03-18 06:10:43.136569,2.0,5,False,True,1,1.0,4380.0,0.1,0.1,1,400.0,10000.0,1,33.0,33.0,33.0,120.0,17344800.0,11.415525114155251,3960.0,1,1,4047.12,5347.98,,55989.46900000001,,9.55176052839508,,,,,,,57816.0,17344.8,40471.2
7661,7054.0,7025.0,552,Deerfoot Destination 2020 Project 4 Exterior - GE Evolve,,,,"Reynolds, Pfeffer and Gottlieb",2021-03-23 17:25:19.750555,2021-03-23 17:25:29.742977,2.0,5,False,True,1,1.0,4380.0,0.1,0.1,1,400.0,10000.0,1,33.0,33.0,33.0,116.0,16766640.0,11.415525114155251,3828.0,1,1,4104.9360000000015,5405.7959999999985,,62844.96900000001,,8.601795952831162,,,,,,,57816.0,16766.64,41049.36
7661,7055.0,7026.0,552,Deerfoot Destination 2020 Project 4 Exterior - GE Evolve,,,,"Reynolds, Pfeffer and Gottlieb",2020-03-18 06:10:39.054392,2020-03-18 06:10:40.317465,2.0,5,False,True,1,1.0,4380.0,0.1,0.1,1,400.0,10000.0,1,33.0,33.0,33.0,135.0,19512900.0,11.415525114155251,4455.0,1,1,3830.31,5131.17,,33291.852,6.49,15.412690168152855,,,,,,,57816.0,19512.9,38303.1
7664,7134.0,7105.0,732,Jones granite,,,,"Lubowitz, Conn and Will",2020-03-18 05:12:16.41521,2020-03-18 05:12:19.001645,2.0,5,False,True,3,28.0,3120.0,0.10135,,3,12978.0,15250.0,3,11.0,11.0,11.0,190.0,3644160.0,48.07692307692307,1168.0,3,3,1720.8257039999999,1720.8257039999999,,3632.7435,2.07,47.36986533731324,,,,,,,26470.08,9491.04,16979.04
7679,7095.0,7066.0,732,Pioneer Custom Millwork,34.0,Manufacturing Facility,,"Lubowitz, Conn and Will",2020-09-10 11:13:33.951513,2020-09-10 11:13:37.906144,2.0,5,False,True,3,216.0,3430.0,0.2156,,3,102816.0,18333.33333333333,3,35.0,35.0,20.0,101.0,2275400.0,43.51917195953893,620.0,4,4,3976.3108,3976.3108,,2235.611999999999,0.56,177.86229453053582,,,,,,,31338.88,12895.88,18443.0
7681,7062.0,7033.0,447,Canteen Vending Services,62.0,Warehouse (Not Refrigerated),,"Connelly, Bins and Walter",2020-03-18 06:01:02.539001,2020-03-18 06:01:04.920253,2.0,5,False,True,3,6.0,3640.0,0.1,,3,3234.0,20000.0,3,167.0,167.0,155.0,245.0,34743800.0,76.92307692307692,9545.0,4,4,5535.348000000001,6437.158,,19462.75,2.92,33.07424695893438,940 Lively Blvd. ,Wood Dale,IL,60191.0,41.982185,-87.9697,90097.28,34743.8,55353.48
7682,7064.0,7035.0,447,Crane Composites,34.0,Manufacturing Facility,,"Connelly, Bins and Walter",2020-03-18 06:00:45.951842,2020-03-18 06:00:52.125506,2.0,5,False,True,6,42.0,4992.0,0.1,,6,26250.0,20000.0,6,1867.0,1867.0,381.0,950.0,143010816.0,224.35897435897442,28648.0,16,16,20150.7072,23979.5712,,72929.75,2.93,32.88036939657684,23525 W. Eames St. ,Channahon,IL,60410.0,41.46156,-88.18404,344517.888,143010.816,201507.072
