id,option_id,year,total_savings,energy_savings,maintenance_savings,customer_savings,demand_savings,cumulative_cash_flow,customer_cost,demand_cost,total_fixture_cost,total_replacement_cost,total_incentives,net_replacement_cost,total_fixture_cost_no_markup,total_cogs,total_labor_cost,total_recycling_cost,total_shipping_cost,total_misc_cost,total_tax_cost,existing_kwh,proposed_kwh,kwh_proposed_annual_savings,total_savings_per_lamp_life,original_cost_per_year,replacement_cost_per_year,total_savings_per_year,original_energy_cost_per_year,original_maintenance_cost_per_year,replacement_energy_cost_per_year,replacement_maintenance_cost_per_year,energy_savings_per_year,maintenance_savings_per_year,internal_return,payback,product_type,life_years,operating_schedule_id,rate_schedule_id,markup_type,watts_per_product,item_watt_hours_consumed,item_watts,energy_charge,use,active
312,1478,3,1590,1590,0,,0,4770,,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,4,1590,1590,0,,0,6360,,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,6,0,0,0,,0,7950,,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,8,0,0,0,,0,7950,,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,10,0,0,0,,0,7950,,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,11,0,0,0,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,12,0,0,0,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,13,0,0,0,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,14,0,0,0,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,15,0,0,0,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,16,0,0,0,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,17,0,0,0,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,18,0,0,0,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,19,0,0,0,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
312,1478,20,0,0,0,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,53167.5,51067.5,2100,7950.00010728834,27328.15929547985,25738.15927402213,1590.00002145767,27204.000024646517,124.1592708333333,25614.0000031888,124.159270833333,1590.00002145767,-0.0000000000000337507799486048,0,0,ExistingLighting,0.4,1655,1056,1,1000,45000000,9000,22500,t,t
185,1292,1,46.51,42.92,0,,0,-126.5577143,,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,2,46.51,42.92,0,,0,-80.04771429,,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,4,46.51,42.92,0,,0,12.97228571,,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,5,46.51,42.92,0,,0,59.48228571,,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,7,46.51,42.92,0,,0,152.5022857,,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,8,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,9,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,10,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,11,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,12,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,13,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,14,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,15,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,16,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,17,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,18,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,19,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
185,1292,20,0,0,0,0,0,152.5022857,0,0,163.2714285714286,173.06771428571474,0,173.06771428571474,114.29,124.08628571428575,0,0,0,0,9.79628571428574,1559.28,1130.04,429.24,318.566192240203,168.9571062028243,122.4464421357547,46.5106640670696,155.928,0,113.004,0,42.92399999999999,0,19,3.72,ExistingLighting,2.739726027,1541,985,2,89,779640,89,77.964,t,t
213,1311,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,537014.258,537014.258,0,0.0000000000032509763526558,53701.4258,53701.4258,0.00000000000117950094136177,53701.425800000005,0,53701.4258,0,0.00000000000117950094136177,0,0,,ExistingLighting,0.915331808,1535,983,2,40,2534600,1160,253.46,t,t
213,1311,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,537014.258,537014.258,0,0.0000000000032509763526558,53701.4258,53701.4258,0.00000000000117950094136177,53701.425800000005,0,53701.4258,0,0.00000000000117950094136177,0,0,,ExistingLighting,0.915331808,1535,983,2,40,349600,160,34.96,t,t
